tmdb_id,title,studio,domestic_gross,foreign_gross,year,budget
tt0435761,Toy Story 3,BV,415000000.0,652000000,2010,200000000
tt1014759,Alice in Wonderland (2010),BV,334200000.0,691300000,2010,200000000
tt0926084,Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000,2010,
tt1375666,Inception,WB,292600000.0,535700000,2010,160000000
tt0892791,Shrek Forever After,P/DW,238700000.0,513900000,2010,165000000
tt1325004,The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010,68000000
tt1228705,Iron Man 2,Par.,312400000.0,311500000,2010,200000000
tt0398286,Tangled,BV,200800000.0,391000000,2010,260000000
tt1323594,Despicable Me,Uni.,251500000.0,291600000,2010,69000000
tt0892769,How to Train Your Dragon,P/DW,217600000.0,277300000,2010,165000000
tt0800320,Clash of the Titans (2010),WB,163200000.0,330000000,2010,125000000
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,155000000
tt1504320,The King's Speech,Wein.,135500000.0,275400000,2010,15000000
tt1104001,Tron Legacy,BV,172100000.0,228000000,2010,170000000
tt0087538,The Karate Kid,Sony,176600000.0,182500000,2010,
tt0473075,Prince of Persia: The Sands of Time,BV,90800000.0,245600000,2010,200000000
tt0947798,Black Swan,FoxS,107000000.0,222400000,2010,13000000
tt1001526,Megamind,P/DW,148400000.0,173500000,2010,130000000
tt4532826,Robin Hood,Uni.,105300000.0,216400000,2010,100000000
tt0938283,The Last Airbender,Par.,131800000.0,187900000,2010,150000000
tt0970866,Little Fockers,Uni.,148400000.0,162200000,2010,100000000
tt0432021,Resident Evil: Afterlife,SGem,60100000.0,240100000,2010,
tt1130884,Shutter Island,Par.,128000000.0,166800000,2010,80000000
tt0944835,Salt,Sony,118300000.0,175200000,2010,110000000
tt1261945,Sex and the City 2,WB (NL),95300000.0,193000000,2010,100000000
tt1243957,The Tourist,Sony,67600000.0,210700000,2010,100000000
tt1320253,The Expendables,LGF,103100000.0,171400000,2010,80000000
tt1375670,Grown Ups,Sony,162000000.0,109400000,2010,80000000
tt1972591,Knight & Day,Fox,76400000.0,185500000,2010,175000000
tt1403865,True Grit,Par.,171200000.0,81000000,2010,38000000
tt1320261,Gulliver's Travels,Fox,42800000.0,194600000,2010,112000000
tt0814255,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000,2010,95000000
tt1285016,The Social Network,Sony,97000000.0,128000000,2010,40000000
tt0817230,Valentine's Day,WB (NL),110500000.0,106000000,2010,52000000
tt0963966,The Sorcerer's Apprentice,BV,63200000.0,152100000,2010,150000000
tt1231583,Due Date,WB,100500000.0,111200000,2010,65000000
tt0879870,Eat Pray Love,Sony,80600000.0,124000000,2010,60000000
tt1302067,Yogi Bear,WB,100200000.0,101300000,2010,80000000
tt1245526,Red,Sum.,90400000.0,108600000,2010,58000000
tt1536044,Paranormal Activity 2,Par.,84800000.0,92800000,2010,3000000
tt0429493,The A-Team,Fox,77200000.0,100000000,2010,110000000
tt1116184,Jackass 3-D,Par.,117200000.0,54500000,2010,20000000
tt1386588,The Other Guys,Sony,119200000.0,51200000,2010,100000000
tt0477080,Unstoppable,Fox,81600000.0,86200000,2010,100000000
