Series ID,Year,Period,Label,Value
CUUR0000SA0L1E,2000,M01,2000 Jan,178.8
CUUR0000SA0L1E,2000,M02,2000 Feb,179.5
CUUR0000SA0L1E,2000,M03,2000 Mar,180.5
CUUR0000SA0L1E,2000,M04,2000 Apr,180.9
CUUR0000SA0L1E,2000,M05,2000 May,180.9
CUUR0000SA0L1E,2000,M06,2000 Jun,181.0
CUUR0000SA0L1E,2000,M07,2000 Jul,181.3
CUUR0000SA0L1E,2000,M08,2000 Aug,181.7
CUUR0000SA0L1E,2000,M09,2000 Sep,182.3
CUUR0000SA0L1E,2000,M10,2000 Oct,182.8
CUUR0000SA0L1E,2000,M11,2000 Nov,183.0
CUUR0000SA0L1E,2000,M12,2000 Dec,182.8
CUUR0000SA0L1E,2001,M01,2001 Jan,183.5
CUUR0000SA0L1E,2001,M02,2001 Feb,184.4
CUUR0000SA0L1E,2001,M03,2001 Mar,185.3
CUUR0000SA0L1E,2001,M04,2001 Apr,185.6
CUUR0000SA0L1E,2001,M05,2001 May,185.5
CUUR0000SA0L1E,2001,M06,2001 Jun,185.9
CUUR0000SA0L1E,2001,M07,2001 Jul,186.2
CUUR0000SA0L1E,2001,M08,2001 Aug,186.6
CUUR0000SA0L1E,2001,M09,2001 Sep,187.1
CUUR0000SA0L1E,2001,M10,2001 Oct,187.6
CUUR0000SA0L1E,2001,M11,2001 Nov,188.1
CUUR0000SA0L1E,2001,M12,2001 Dec,187.8
CUUR0000SA0L1E,2002,M01,2002 Jan,188.2
CUUR0000SA0L1E,2002,M02,2002 Feb,189.2
CUUR0000SA0L1E,2002,M03,2002 Mar,189.8
CUUR0000SA0L1E,2002,M04,2002 Apr,190.3
CUUR0000SA0L1E,2002,M05,2002 May,190.2
CUUR0000SA0L1E,2002,M06,2002 Jun,190.1
CUUR0000SA0L1E,2002,M07,2002 Jul,190.3
CUUR0000SA0L1E,2002,M08,2002 Aug,191.0
CUUR0000SA0L1E,2002,M09,2002 Sep,191.3
CUUR0000SA0L1E,2002,M10,2002 Oct,191.8
CUUR0000SA0L1E,2002,M11,2002 Nov,191.8
CUUR0000SA0L1E,2002,M12,2002 Dec,191.4
CUUR0000SA0L1E,2003,M01,2003 Jan,191.8
CUUR0000SA0L1E,2003,M02,2003 Feb,192.5
CUUR0000SA0L1E,2003,M03,2003 Mar,193.0
CUUR0000SA0L1E,2003,M04,2003 Apr,193.1
CUUR0000SA0L1E,2003,M05,2003 May,193.2
CUUR0000SA0L1E,2003,M06,2003 Jun,193.0
CUUR0000SA0L1E,2003,M07,2003 Jul,193.2
CUUR0000SA0L1E,2003,M08,2003 Aug,193.5
CUUR0000SA0L1E,2003,M09,2003 Sep,193.6
CUUR0000SA0L1E,2003,M10,2003 Oct,194.3
CUUR0000SA0L1E,2003,M11,2003 Nov,193.9
CUUR0000SA0L1E,2003,M12,2003 Dec,193.6
CUUR0000SA0L1E,2004,M01,2004 Jan,194.0
CUUR0000SA0L1E,2004,M02,2004 Feb,194.9
CUUR0000SA0L1E,2004,M03,2004 Mar,196.1
CUUR0000SA0L1E,2004,M04,2004 Apr,196.5
CUUR0000SA0L1E,2004,M05,2004 May,196.5
CUUR0000SA0L1E,2004,M06,2004 Jun,196.6
CUUR0000SA0L1E,2004,M07,2004 Jul,196.6
CUUR0000SA0L1E,2004,M08,2004 Aug,196.8
CUUR0000SA0L1E,2004,M09,2004 Sep,197.4
CUUR0000SA0L1E,2004,M10,2004 Oct,198.2
CUUR0000SA0L1E,2004,M11,2004 Nov,198.1
CUUR0000SA0L1E,2004,M12,2004 Dec,197.8
CUUR0000SA0L1E,2005,M01,2005 Jan,198.4
CUUR0000SA0L1E,2005,M02,2005 Feb,199.5
CUUR0000SA0L1E,2005,M03,2005 Mar,200.7
CUUR0000SA0L1E,2005,M04,2005 Apr,200.9
CUUR0000SA0L1E,2005,M05,2005 May,200.8
CUUR0000SA0L1E,2005,M06,2005 Jun,200.6
CUUR0000SA0L1E,2005,M07,2005 Jul,200.8
CUUR0000SA0L1E,2005,M08,2005 Aug,201.0
CUUR0000SA0L1E,2005,M09,2005 Sep,201.3
CUUR0000SA0L1E,2005,M10,2005 Oct,202.3
CUUR0000SA0L1E,2005,M11,2005 Nov,202.3
CUUR0000SA0L1E,2005,M12,2005 Dec,202.1
CUUR0000SA0L1E,2006,M01,2006 Jan,202.6
CUUR0000SA0L1E,2006,M02,2006 Feb,203.6
CUUR0000SA0L1E,2006,M03,2006 Mar,204.9
CUUR0000SA0L1E,2006,M04,2006 Apr,205.5
CUUR0000SA0L1E,2006,M05,2006 May,205.7
CUUR0000SA0L1E,2006,M06,2006 Jun,205.9
CUUR0000SA0L1E,2006,M07,2006 Jul,206.2
CUUR0000SA0L1E,2006,M08,2006 Aug,206.7
CUUR0000SA0L1E,2006,M09,2006 Sep,207.2
CUUR0000SA0L1E,2006,M10,2006 Oct,207.8
CUUR0000SA0L1E,2006,M11,2006 Nov,207.6
CUUR0000SA0L1E,2006,M12,2006 Dec,207.3
CUUR0000SA0L1E,2007,M01,2007 Jan,208.009
CUUR0000SA0L1E,2007,M02,2007 Feb,209.112
CUUR0000SA0L1E,2007,M03,2007 Mar,209.923
CUUR0000SA0L1E,2007,M04,2007 Apr,210.311
CUUR0000SA0L1E,2007,M05,2007 May,210.316
CUUR0000SA0L1E,2007,M06,2007 Jun,210.474
CUUR0000SA0L1E,2007,M07,2007 Jul,210.756
CUUR0000SA0L1E,2007,M08,2007 Aug,211.111
CUUR0000SA0L1E,2007,M09,2007 Sep,211.628
CUUR0000SA0L1E,2007,M10,2007 Oct,212.318
CUUR0000SA0L1E,2007,M11,2007 Nov,212.435
CUUR0000SA0L1E,2007,M12,2007 Dec,212.356
CUUR0000SA0L1E,2008,M01,2008 Jan,213.138
CUUR0000SA0L1E,2008,M02,2008 Feb,213.866
CUUR0000SA0L1E,2008,M03,2008 Mar,214.866
CUUR0000SA0L1E,2008,M04,2008 Apr,215.059
CUUR0000SA0L1E,2008,M05,2008 May,215.180
CUUR0000SA0L1E,2008,M06,2008 Jun,215.553
CUUR0000SA0L1E,2008,M07,2008 Jul,216.045
CUUR0000SA0L1E,2008,M08,2008 Aug,216.476
CUUR0000SA0L1E,2008,M09,2008 Sep,216.862
CUUR0000SA0L1E,2008,M10,2008 Oct,217.023
CUUR0000SA0L1E,2008,M11,2008 Nov,216.690
CUUR0000SA0L1E,2008,M12,2008 Dec,216.100
CUUR0000SA0L1E,2009,M01,2009 Jan,216.719
CUUR0000SA0L1E,2009,M02,2009 Feb,217.685
CUUR0000SA0L1E,2009,M03,2009 Mar,218.639
