movie,franchise
"May 6, 2022",Marvel Cinematic Universe
Black Panther II,Marvel Cinematic Universe
"Nov 5, 2021",Marvel Cinematic Universe
Eternals,Marvel Cinematic Universe
"Nov 5, 2021",Marvel Cinematic Universe
Untitled Spider-Man: Far Fr…,Marvel Cinematic Universe
"Jul 9, 2021",Marvel Cinematic Universe
Shang Chi and the Legend of…,Marvel Cinematic Universe
"May 7, 2021",Marvel Cinematic Universe
Black Widow,Marvel Cinematic Universe
"Dec 31, 2020",Marvel Cinematic Universe
Spider-Man 4: Fan Film,Marvel Cinematic Universe
"Jul 2, 2019",Marvel Cinematic Universe
Spider-Man: Far From Home,Marvel Cinematic Universe
"Apr 26, 2019",Marvel Cinematic Universe
Avengers: Endgame,Marvel Cinematic Universe
"Mar 8, 2019",Marvel Cinematic Universe
Captain Marvel,Marvel Cinematic Universe
"Jul 6, 2018",Marvel Cinematic Universe
Ant-Man and the Wasp,Marvel Cinematic Universe
"Apr 27, 2018",Marvel Cinematic Universe
Avengers: Infinity War,Marvel Cinematic Universe
"Feb 16, 2018",Marvel Cinematic Universe
Black Panther,Marvel Cinematic Universe
"Nov 3, 2017",Marvel Cinematic Universe
Thor: Ragnarok,Marvel Cinematic Universe
"Jul 7, 2017",Marvel Cinematic Universe
Spider-Man: Homecoming,Marvel Cinematic Universe
"May 5, 2017",Marvel Cinematic Universe
Guardians of the Galaxy Vol 2,Marvel Cinematic Universe
"Nov 4, 2016",Marvel Cinematic Universe
Doctor Strange,Marvel Cinematic Universe
"May 6, 2016",Marvel Cinematic Universe
Captain America: Civil War,Marvel Cinematic Universe
"Jul 17, 2015",Marvel Cinematic Universe
Ant-Man,Marvel Cinematic Universe
"May 1, 2015",Marvel Cinematic Universe
Avengers: Age of Ultron,Marvel Cinematic Universe
"Aug 1, 2014",Marvel Cinematic Universe
Guardians of the Galaxy,Marvel Cinematic Universe
"Apr 4, 2014",Marvel Cinematic Universe
Captain America: The Winter…,Marvel Cinematic Universe
"Nov 8, 2013",Marvel Cinematic Universe
Thor: The Dark World,Marvel Cinematic Universe
"May 3, 2013",Marvel Cinematic Universe
Iron Man 3,Marvel Cinematic Universe
"May 4, 2012",Marvel Cinematic Universe
The Avengers,Marvel Cinematic Universe
"Jul 22, 2011",Marvel Cinematic Universe
Captain America: The First …,Marvel Cinematic Universe
"May 6, 2011",Marvel Cinematic Universe
Thor,Marvel Cinematic Universe
"May 7, 2010",Marvel Cinematic Universe
Iron Man 2,Marvel Cinematic Universe
"Jun 13, 2008",Marvel Cinematic Universe
The Incredible Hulk,Marvel Cinematic Universe
"May 2, 2008",Marvel Cinematic Universe
Iron Man,Marvel Cinematic Universe
"Dec 17, 2027",Star Wars
Untitled Star Wars Movie,Star Wars
"Dec 19, 2025",Star Wars
Untitled Star Wars Movie,Star Wars
"Dec 22, 2023",Star Wars
Untitled Star Wars Movie,Star Wars
"Dec 20, 2019",Star Wars
Star Wars: The Rise of Skyw…,Star Wars
"May 25, 2018",Star Wars
Solo: A Star Wars Story,Star Wars
"Dec 15, 2017",Star Wars
Star Wars Ep. VIII: The Las…,Star Wars
"Dec 16, 2016",Star Wars
Rogue One: A Star Wars Story,Star Wars
"Dec 18, 2015",Star Wars
Star Wars Ep. VII: The Forc…,Star Wars
"Aug 15, 2008",Star Wars
Star Wars: The Clone Wars,Star Wars
"May 19, 2005",Star Wars
Star Wars Ep. III: Revenge …,Star Wars
"May 16, 2002",Star Wars
Star Wars Ep. II: Attack of…,Star Wars
"May 19, 1999",Star Wars
Star Wars Ep. I: The Phanto…,Star Wars
"May 25, 1983",Star Wars
Star Wars Ep. VI: Return of…,Star Wars
"May 21, 1980",Star Wars
Star Wars Ep. V: The Empire…,Star Wars
Star Wars Ep. IV: A New Hope,Star Wars
"Apr 2, 2021",James Bond
No Time to Die,James Bond
"Nov 6, 2015",James Bond
Spectre,James Bond
"Nov 8, 2012",James Bond
Skyfall,James Bond
"Nov 14, 2008",James Bond
Quantum of Solace,James Bond
"Nov 17, 2006",James Bond
Casino Royale,James Bond
"Nov 22, 2002",James Bond
Die Another Day,James Bond
"Nov 19, 1999",James Bond
The World is Not Enough,James Bond
"Dec 19, 1997",James Bond
Tomorrow Never Dies,James Bond
"Nov 17, 1995",James Bond
Goldeneye,James Bond
"Jul 14, 1989",James Bond
Licence to Kill,James Bond
"Jul 31, 1987",James Bond
The Living Daylights,James Bond
"May 24, 1985",James Bond
A View to a Kill,James Bond
"Oct 7, 1983",James Bond
Never Say Never Again,James Bond
"Jun 10, 1983",James Bond
Octopussy,James Bond
"Jun 26, 1981",James Bond
For Your Eyes Only,James Bond
"Jun 29, 1979",James Bond
Moonraker,James Bond
"Jul 13, 1977",James Bond
The Spy Who Loved Me,James Bond
The Man with the Golden Gun,James Bond
Live and Let Die,James Bond
Diamonds Are Forever,James Bond
On Her Majesty's Secret Ser…,James Bond
You Only Live Twice,James Bond
Casino Royale,James Bond
Thunderball,James Bond
Goldfinger,James Bond
From Russia With Love,James Bond
Dr. No,James Bond
"Mar 4, 2022",Batman
The Batman,Batman
"Oct 4, 2019",Batman
Joker,Batman
"Aug 15, 2017",Batman
Batman and Harley Quinn,Batman
"Feb 10, 2017",Batman
The Lego Batman Movie,Batman
"Jul 25, 2016",Batman
Batman: The Killing Joke,Batman
"Mar 25, 2016",Batman
Batman v Superman: Dawn of …,Batman
"Feb 2, 2016",Batman
Batman Bad: Blood,Batman
"Aug 4, 2015",Batman
Batman Unlimited: Monster M…,Batman
"Apr 28, 2015",Batman
Batman Unlimited: Animal In…,Batman
"Jan 29, 2013",Batman
Batman: The Dark Knight Ret…,Batman
"Sep 25, 2012",Batman
Batman: The Dark Knight Ret…,Batman
