id,title,mpaa_rating,studio,franchise,budget,dom_gross,world_gross,dom_net,world_net,popularity,user_rating,total_votes,rating_id,release_date,is_franchise,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
tt2380307,Coco,PG,Walt Disney Studios Motion Pictures,,,215.908,828.73,,,520.621,8.3,289833.0,2,2017-10-27,False,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False
tt7286456,Joker,R,Warner Bros.,Batman,54.001,329.357,1054.736,275.356,1000.735,330.357,8.2,15378.0,4,2019-10-02,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
tt7349950,It Chapter Two,R,Warner Bros.,It,77.565,207.749,464.499,130.184,386.934,288.149,6.9,5133.0,4,2019-09-04,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
tt4520988,Frozen Ii,PG,Walt Disney Studios Motion Pictures,Frozen,147.275,468.701,1423.685,321.426,1276.41,257.243,7.3,6344.0,2,2019-11-20,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
tt7975244,Jumanji The Next Level,PG-13,Sony Pictures Entertainment (SPE),Jumanji,122.729,314.496,785.525,191.767,662.796,216.18400000000003,7.0,4925.0,3,2019-12-04,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
tt4154756,Avengers Infinity War,PG-13,Walt Disney Studios Motion Pictures,Marvel Cinematic Universe,,681.538,2056.574,,,214.301,8.4,690980.0,3,2018-04-25,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
tt0414982,Final Destination 3,R,New Line Cinema,Final Destination,31.37,67.883,149.185,36.513,117.815,202.062,6.0,2484.0,4,2006-02-09,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
tt6806448,Fast & Furious Presents Hobbs & Shaw,PG-13,Universal Pictures,Fast and the Furious,196.367,170.797,745.267,-25.57,548.9,199.629,6.9,4284.0,3,2019-08-01,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt4126476,After,PG-13,Aviron Pictures,,13.746,11.918,68.479,-1.828,54.733,191.929,6.35,12869.0,3,2019-04-11,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
tt6450804,Terminator Dark Fate,R,Paramount Pictures,Terminator,181.639,61.122,256.376,-120.517,74.737,177.893,6.5,2952.0,4,2019-10-23,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
tt6105098,The Lion King,PG,Walt Disney Studios Motion Pictures,The Lion King,255.277,533.762,1627.034,278.485,1371.757,177.49900000000005,7.2,6985.0,2,2019-07-12,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
tt4154796,Avengers Endgame,PG-13,Walt Disney Studios Motion Pictures,Marvel Cinematic Universe,349.533,842.779,2746.974,493.246,2397.441,177.34599999999998,8.55,456667.0,3,2019-04-24,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
tt4777008,Maleficent Mistress Of Evil,PG,Walt Disney Studios Motion Pictures,Maleficent,181.639,111.86,482.797,-69.779,301.158,175.83599999999996,7.4,3778.0,2,2019-10-16,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
tt4094724,The Purge Election Year,R,Universal Pictures,The Purge,10.441,82.707,123.818,72.266,113.377,173.963,6.2,83980.0,4,2016-06-29,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
tt6133466,The First Purge,R,Universal Pictures,The Purge,13.052,69.767,137.386,56.715,124.334,172.34799999999996,5.5,44382.0,4,2018-07-04,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
