id,studio,rating,budget,dom_gross,world_gross
tt2380307,Walt Disney Studios Motion Pictures,PG,,210460015,807817888
tt7286456,Warner Bros.,R,55000000,335451311,1074251311
tt7349950,Warner Bros.,R,79000000,211593228,473093228
tt4520988,Walt Disney Studios Motion Pictures,PG,150000000,477373578,1450026933
tt7975244,Sony Pictures Entertainment (SPE),PG-13,125000000,320314960,800059707
tt4154756,Walt Disney Studios Motion Pictures,PG-13,,678815482,2048359754
tt5168832,,0,,,
tt9465600,,R,,,
tt0414982,New Line Cinema,R,25000000,54098051,118890272
tt6806448,Universal Pictures,PG-13,200000000,173956935,759056935
tt4126476,Aviron Pictures,PG-13,14000000,12138565,69746452
tt6450804,Paramount Pictures,R,185000000,62253077,261119292
tt6105098,Walt Disney Studios Motion Pictures,PG,260000000,543638043,1657138876
tt4154796,Walt Disney Studios Motion Pictures,PG-13,356000000,858373000,2797800564
tt4777008,Walt Disney Studios Motion Pictures,PG,185000000,113929605,491730089
tt4094724,Universal Pictures,R,10000000,79213375,118587880
tt6133466,Universal Pictures,R,13000000,69488745,137056262
tt8579674,Universal Pictures,R,95000000,159227644,384792488
tt6320628,Sony Pictures Entertainment (SPE),PG-13,160000000,390532085,1131927996
tt1935859,Twentieth Century Fox,PG-13,110000000,87242834,296482446
tt1979376,Walt Disney Studios Motion Pictures,G,200000000,434038008,1073394593
tt1935896,Magnolia Pictures,0,,21832,23589
tt6146586,Lionsgate,R,75000000,171015687,326709727
tt2527338,Walt Disney Studios Motion Pictures,PG-13,275000000,515202542,1074144248
tt4281724,,0,,,
tt1025100,Paramount Pictures,PG-13,138000000,48546770,173469516
tt2709692,Universal Pictures,PG,75000000,270620950,511595957
tt4633694,Sony Pictures Entertainment (SPE),PG,90000000,190241310,375540831
tt0329774,Revolution Studios,PG-13,,26873932,71022693
tt1560220,Sony Pictures Entertainment (SPE),R,42000000,73123082,122810399
tt8106534,,R,,,
tt7287680,,0,,,
tt2184339,Universal Pictures,R,3000000,64473115,89328627
tt1620981,United Artists Releasing,PG,24000000,100717913,203982710
tt6095472,Sony Pictures Entertainment (SPE),PG,65000000,41667116,147792047
tt5884052,Warner Bros.,PG,150000000,144105346,433005346
tt5220122,Sony Pictures Entertainment (SPE),PG,80000000,167510016,528583774
tt6139732,Walt Disney Studios Motion Pictures,PG,183000000,355559216,1050693953
tt5848272,Walt Disney Studios Motion Pictures,PG,175000000,201091711,529323962
tt2975578,Universal Pictures,R,9000000,71962800,111928365
tt7439064,,0,,,1496396
tt5113040,Universal Pictures,PG,80000000,158874395,430051293
tt1950186,Twentieth Century Fox,PG-13,97600000,117624357,225508210
tt9207616,,R,,,272693
tt3741700,Warner Bros.,PG-13,170000000,110500138,386600138
tt1206885,Lionsgate,R,50000000,44819352,91490353
tt5814534,Twentieth Century Fox,PG,100000000,66757013,171616764
tt4779682,Warner Bros.,PG-13,130000000,145443742,530259473
tt1677720,Warner Bros.,PG-13,175000000,137690172,582893671
tt1270797,Sony Pictures Entertainment (SPE),PG-13,100000000,213515506,856085151
tt2926810,Magnolia Pictures,0,,7171,7171
tt7547410,Paramount Pictures,PG,49000000,60477943,119682635
tt4881806,Universal Pictures,PG-13,170000000,417719760,1310464680
tt7025388,,0,,,1940234
tt4154664,Walt Disney Studios Motion Pictures,PG-13,160000000,426829839,1128276090
tt6565702,Twentieth Century Fox,PG-13,200000000,65845974,252442974
tt6259380,,0,,,157209
tt2250912,Sony Pictures Entertainment (SPE),PG-13,175000000,334201140,880166924
tt1825683,Walt Disney Studios Motion Pictures,PG-13,,700426566,1347462384
tt0241527,Warner Bros.,PG,125000000,318087620,1006482860
tt2386490,Universal Pictures,PG,129000000,160799505,524382645
tt5463162,Twentieth Century Fox,R,110000000,324591735,785794179
tt4429160,,PG,,,9696539
tt0974015,Warner Bros.,PG-13,,229024295,657926987
tt6324278,Universal Pictures,PG,75000000,60716390,179057149
tt3501632,Walt Disney Studios Motion Pictures,PG-13,180000000,315058289,853980491
tt0448115,Warner Bros.,PG-13,100000000,140371656,365971656
tt1396484,Warner Bros.,R,35000000,328828874,701796444
tt5033998,Sony Pictures Entertainment (SPE),PG-13,48000000,17803077,73279888
tt0437086,Twentieth Century Fox,PG-13,170000000,85838210,404980543
tt1431045,Twentieth Century Fox,R,58000000,363070709,782612155
tt7390646,Screen Gems,R,12000000,22055313,22741061
tt1477834,Warner Bros.,PG-13,,335061807,1148485886
tt2965466,,R,,,
tt6889128,,0,,,8363172
tt1790864,Twentieth Century Fox,PG-13,34000000,102427862,348319861
tt8096832,,PG,,,
tt2262227,Twentieth Century Fox,PG,50000000,50151543,99783556
tt5266668,,R,,,
tt0330373,Warner Bros.,PG-13,150000000,290417905,896419501
tt8328716,,R,,,
tt0327597,Focus Features,PG,60000000,75286229,124596837
tt2322441,Universal Pictures,R,40000000,166167230,569651467
tt5095030,Walt Disney Studios Motion Pictures,PG-13,,216648740,622674139
tt3829266,Twentieth Century Fox,R,88000000,51024708,160542134
tt0479968,Warner Bros.,PG-13,20000000,26890041,45847751
tt2294629,Walt Disney Studios Motion Pictures,PG,150000000,400738009,1280803377
tt3606756,Walt Disney Studios Motion Pictures,PG,,608581744,1242805359
tt6189022,Lionsgate,R,40000000,69030436,146661977
tt0848228,Walt Disney Studios Motion Pictures,PG-13,220000000,623357910,1518815515
tt7394816,,R,,,84630
tt8022928,,0,,,
tt2119532,Lionsgate,R,40000000,67209615,180450918
tt0369610,Universal Pictures,PG-13,150000000,652270625,1670401444
tt2622672,,0,,,
tt1856101,Warner Bros.,R,150000000,92054159,259239658
tt6196936,,R,,,372282
tt6343314,Metro-Goldwyn-Mayer (MGM),PG-13,50000000,115715889,214215889
tt0816692,Paramount Pictures,PG-13,165000000,188020017,696264079
tt11191124,,0,,,
tt2283336,Sony Pictures Entertainment (SPE),PG-13,110000000,80001807,253890701
tt8364368,Paramount Pictures,R,13500000,39014193,91542097
tt2557478,Universal Pictures,PG-13,150000000,59874525,290930148
tt3561236,,0,,,
tt3470600,Universal Pictures,PG,75000000,270395425,634154922
tt2310332,Warner Bros.,PG-13,,255119788,956019788
tt8385474,Universal Pictures,PG,16000000,22782371,75727748
tt5116302,,PG,,,
tt1099212,Summit Entertainment,PG-13,37000000,193962473,408430415
tt0304141,Warner Bros.,PG,130000000,249975996,796208921
tt2637276,Universal Pictures,R,68000000,81476385,215863606
tt2274648,Lionsgate,R,50000000,21903748,44665289
tt3606752,Walt Disney Studios Motion Pictures,G,,152901115,383930656
tt1981128,Warner Bros.,PG-13,120000000,33700160,221600160
tt1340138,Paramount Pictures,PG-13,155000000,89760956,440603537
tt10253466,,0,,,
tt4701182,Paramount Pictures,PG-13,135000000,127195589,467989645
tt4649466,Twentieth Century Fox,R,104000000,100234838,410902662
tt2245084,Walt Disney Studios Motion Pictures,PG,165000000,222527828,657869501
tt0126029,DreamWorks Distribution,PG,60000000,267665011,506429095
tt0295297,Warner Bros.,PG,100000000,262450136,879600965
tt4425200,Lionsgate,R,,92029184,171547802
tt9896916,Fathom Events,PG,,1294596,3173282
tt0417741,Warner Bros.,PG,250000000,302305431,934452003
tt10515852,Fathom Events,0,,,24012
tt8380776,,0,,,
tt4630562,Universal Pictures,PG-13,250000000,226008385,1236005118
tt7734218,Twentieth Century Fox,R,16000000,22370452,32390945
tt0451279,Warner Bros.,PG-13,149000000,412563408,821847012
tt4912910,Paramount Pictures,PG-13,178000000,220159104,791120426
tt2114504,,PG,,,15316635
tt7083526,Twentieth Century Fox,PG,14000000,40713082,50444358
tt1324999,Summit Entertainment,PG-13,110000000,281287133,712205856
tt9625664,,R,,,92968
tt1911658,Twentieth Century Fox,PG,132000000,83850911,373515621
tt3315342,Twentieth Century Fox,R,97000000,226277068,619021436
tt1457767,Warner Bros.,R,20000000,137400141,319510075
tt2446042,Twentieth Century Fox,PG-13,48000000,89256424,326479141
tt6079516,,R,,,1098207
tt2267968,Twentieth Century Fox,PG,145000000,143528619,521170825
tt1325004,Summit Entertainment,PG-13,68000000,300531751,698491347
tt2395427,Walt Disney Studios Motion Pictures,PG-13,250000000,459005868,1402809540
tt0499549,Twentieth Century Fox,PG-13,237000000,760507625,2790439092
tt0444682,Warner Bros.,R,,25126214,62771059
tt8688634,STX Entertainment,R,33000000,28539757,49939757
tt5028340,Walt Disney Studios Motion Pictures,PG,130000000,171958438,349545966
tt1673434,Lionsgate,PG-13,120000000,292324737,829747488
tt0481499,Twentieth Century Fox,PG,135000000,187168425,587204668
tt5580390,Fox Searchlight Pictures,R,,63859435,195333312
tt5164214,Warner Bros.,PG-13,70000000,140218711,297718711
tt10548944,,0,,,
tt9243946,,0,,,
tt1211837,Walt Disney Studios Motion Pictures,PG-13,165000000,232641920,677796076
tt3896198,Walt Disney Studios Motion Pictures,PG-13,200000000,389813101,863756051
tt1571234,Universal Pictures,PG-13,100000000,15951040,83672673
tt0319970,,0,,,
tt2231461,Warner Bros.,PG-13,120000000,101028233,428028233
tt2713180,Sony Pictures Entertainment (SPE),R,68000000,85817906,211822697
tt0443453,Twentieth Century Fox,R,18000000,128505958,262552893
tt1201607,Warner Bros.,PG-13,,381409310,1342222791
tt0121164,Warner Bros.,PG,,53359111,118090836
tt11276598,,0,,,4440894
tt0373889,Warner Bros.,PG-13,150000000,292353413,942170173
tt0145487,Sony Pictures Entertainment (SPE),PG-13,139000000,407022860,825025036
tt2802144,Twentieth Century Fox,R,81000000,128261724,414351546
tt3344680,,R,,,413334
tt0298148,DreamWorks Distribution,PG,150000000,441226247,928760770
tt8623904,Universal Pictures,PG-13,25000000,35150750,121550750
tt1663662,Warner Bros.,PG-13,190000000,101802906,411002906
tt6988208,,0,,,47188
tt2948356,Walt Disney Studios Motion Pictures,PG,,341268248,1023791895
tt0462538,Twentieth Century Fox,PG-13,75000000,183135014,536414270
tt2527336,Walt Disney Studios Motion Pictures,PG-13,317000000,620181382,1332697499
tt3498820,Walt Disney Studios Motion Pictures,PG-13,250000000,408084349,1153332120
tt1291150,Paramount Pictures,PG-13,125000000,191204754,485004754
tt0365929,Warner Bros.,R,35000000,10275638,17976667
tt4477536,Universal Pictures,R,55000000,100407760,371985018
tt3799232,,0,,,
tt0926084,Warner Bros.,PG-13,,296347721,976998674
tt5758778,Universal Pictures,PG-13,125000000,68420120,304868961
tt8318702,,0,,,
tt1872181,Sony Pictures Entertainment (SPE),PG-13,,202853933,708982323
tt1259571,Summit Entertainment,PG-13,50000000,297816253,711025481
tt5052474,Sony Pictures Entertainment (SPE),R,35000000,50072235,75837743
tt5726616,Sony Pictures Classics,R,,18095701,41887595
tt5814060,Warner Bros.,R,22000000,117450119,365551694
tt0468569,Warner Bros.,PG-13,185000000,535234033,1005456758
tt0371746,Paramount Pictures,PG-13,140000000,319034126,585796247
tt5493944,Conglomerate Media,PG,,147175,2613377
tt4123430,Warner Bros.,PG-13,200000000,159555901,654855901
tt1679335,Twentieth Century Fox,PG,125000000,153707064,346864462
tt3861390,Walt Disney Studios Motion Pictures,PG,170000000,114766307,353284621
tt6823368,Universal Pictures,PG-13,20000000,111048468,246999039
tt3758162,,0,,,171216
tt1727824,Twentieth Century Fox,PG-13,52000000,216668042,903975345
tt6220752,,0,,,
tt6472976,Lionsgate,PG-13,7000000,45729221,91522094
tt3385516,Twentieth Century Fox,PG-13,178000000,155442489,543934105
tt8781414,Well Go USA Entertainment,R,,276591,368410
tt2283362,Sony Pictures Entertainment (SPE),PG-13,90000000,404540171,962102237
tt6513656,,R,,,17592626
tt2872732,Universal Pictures,R,40000000,126663600,458863600
tt6644200,Paramount Pictures,PG-13,17000000,188024361,340952841
tt1119646,Warner Bros.,R,35000000,277322503,469310836
tt0892791,DreamWorks,PG,165000000,238736787,752600867
tt8350360,Warner Bros.,R,30000000,74152591,231252591
tt3920820,Bleecker Street Media,PG-13,,4376819,4376819
tt0325980,Walt Disney Studios Motion Pictures,PG-13,140000000,305413918,654264015
tt1951265,Lionsgate,PG-13,125000000,337135885,755356711
tt1502407,Universal Pictures,R,10000000,159342015,255614170
tt5941692,Sony Pictures Entertainment (SPE),PG-13,15000000,15006824,15383580
tt3731562,Warner Bros.,PG-13,185000000,168052812,566652812
tt1636826,Warner Bros.,R,,54731865,102731865
tt2428170,,R,,,
tt1646971,Twentieth Century Fox,PG,145000000,177002924,621537519
tt4073790,Twentieth Century Fox,PG-13,34000000,12695691,41142379
tt6772804,,R,,,1766092
tt1922777,Lionsgate,R,3000000,48086903,82515113
tt2975590,Warner Bros.,PG-13,250000000,330360194,873637528
tt2126355,Warner Bros.,PG-13,110000000,155190832,473990832
tt3371366,Paramount Pictures,PG-13,217000000,130168683,605425157
tt0993846,Paramount Pictures,R,100000000,116900694,392000694
tt5968394,Focus Features,PG-13,,5958315,8808611
tt2279373,Paramount Pictures,PG,74000000,162994032,325186032
tt5452780,,G,,,
tt8368406,,R,,,427399
tt2771200,Walt Disney Studios Motion Pictures,PG,160000000,504481165,1264064386
tt2510894,Sony Pictures Entertainment (SPE),PG,80000000,169700110,474800000
tt3065204,Warner Bros.,R,40000000,102470008,320392818
tt0257516,Dimension Films,PG-13,38000000,19297522,29621722
tt1985949,Sony Pictures Entertainment (SPE),PG,73000000,107509366,352333929
tt3717490,Lionsgate,PG-13,100000000,85364450,142337240
tt7984766,,R,,,126931
tt2908446,Lionsgate,PG-13,110000000,130179072,297002527
tt0166813,DreamWorks Distribution,G,80000000,73280117,122563539
tt8752498,,PG-13,,,
tt1846589,Lionsgate,R,40000000,15767460,31672678
tt0407887,Warner Bros.,R,90000000,132384315,291465034
tt6141246,Amazon Studios,PG-13,,,3485251
tt5523010,Walt Disney Studios Motion Pictures,PG,120000000,54858851,173961069
tt4500922,Twentieth Century Fox,PG-13,62000000,58032443,288175335
tt7832848,,R,,,
tt2034800,Universal Pictures,PG-13,150000000,45540830,334933831
tt9134216,Paramount Pictures,PG,29900000,44451847,68631669
tt0383574,Walt Disney Studios Motion Pictures,PG-13,225000000,423315812,1066179747
tt2034176,,0,,,213930
tt7869070,,R,,,
tt2820852,Universal Pictures,PG-13,190000000,353007020,1515253062
tt5664636,Sony Pictures Entertainment (SPE),PG,35000000,46700633,93320380
tt0441881,,R,,,2078370
tt8946378,Lionsgate,PG-13,40000000,165363234,311398301
tt0267913,Warner Bros.,PG,84000000,153294164,275650703
tt0387564,Lionsgate,R,1200000,56000369,103911669
tt0257106,Miramax,R,45000000,71308997,141220678
tt0800369,Paramount Pictures,PG-13,150000000,181030624,449326618
tt3411444,Twentieth Century Fox,PG,111000000,84410380,296069199
tt2096673,Walt Disney Studios Motion Pictures,PG,175000000,356921711,858071350
tt5164432,Twentieth Century Fox,PG-13,17000000,40826341,66316289
tt4729430,,PG,,,
tt0462499,Lionsgate,R,50000000,42754105,113244290
tt1392190,Warner Bros.,R,150000000,154058340,375225175
tt1289401,Sony Pictures Entertainment (SPE),PG-13,144000000,128350574,229147509
tt2488496,Walt Disney Studios Motion Pictures,PG-13,245000000,936662225,2068454133
tt0268380,Twentieth Century Fox,PG,59000000,176387405,383257136
tt4972582,Universal Pictures,PG-13,9000000,138291365,278454358
tt3541524,,R,,,638182
tt4046784,Twentieth Century Fox,PG-13,61000000,81697192,312296056
tt2674426,Warner Bros.,PG-13,20000000,56245075,208314186
tt4538670,,0,,,
tt1956620,Sony Pictures Entertainment (SPE),R,40000000,38543473,126069509
tt6237208,,0,,,
tt0120737,New Line Cinema,PG-13,93000000,315544750,888159092
tt0837562,Sony Pictures Entertainment (SPE),PG,85000000,148313048,358375603
tt7424200,Warner Bros.,PG,10000000,29790236,52090236
tt5140878,Warner Bros.,R,15000000,102092201,306515884
tt7616798,Sony Pictures Entertainment (SPE),PG,18000000,42004346,80708134
tt0878804,Warner Bros.,PG-13,29000000,255959475,309208309
tt3183660,Warner Bros.,PG-13,180000000,234037575,814043616
tt1528100,Twentieth Century Fox,PG-13,140000000,65014513,268175631
tt3778644,Walt Disney Studios Motion Pictures,PG-13,275000000,213767512,392924807
tt2543472,Lionsgate,PG,,132422809,305940606
tt1300854,Walt Disney Studios Motion Pictures,PG-13,200000000,409013994,1214811252
tt1772341,Walt Disney Studios Motion Pictures,PG,165000000,189422889,471222889
tt4532826,Lionsgate,PG-13,100000000,30824628,86493046
tt4877122,Sony Pictures Entertainment (SPE),PG,50000000,86089513,217776646
tt10622136,,0,,,
tt5606664,Warner Bros.,R,45000000,31581712,72381712
tt1587310,Walt Disney Studios Motion Pictures,PG,180000000,241410378,758411779
tt0198781,Walt Disney Studios Motion Pictures,G,115000000,290642256,579707070
tt2316204,Twentieth Century Fox,R,97000000,74262031,240891763
tt3513498,Warner Bros.,PG,99000000,105806508,192306508
tt1298650,Walt Disney Studios Motion Pictures,PG-13,250000000,241071802,1045713802
tt0948470,Sony Pictures Entertainment (SPE),PG-13,230000000,262030663,757930663
tt0167260,New Line Cinema,PG-13,94000000,377845905,1142456987
tt4244998,Studio 8,PG-13,51000000,35857181,98203196
tt0478970,Walt Disney Studios Motion Pictures,PG-13,130000000,180202163,519311965
tt3110958,Lionsgate,PG-13,,65075540,334897606
tt1228705,Paramount Pictures,PG-13,200000000,312433331,623933331
tt6643972,Well Go USA Entertainment,R,,76289,345900
tt9382596,,0,,,
tt7831358,,0,,,
tt8186318,Affirm Films,PG,5000000,34746945,38026103
tt4007502,,G,,,
tt1790809,Walt Disney Studios Motion Pictures,PG-13,230000000,172558876,794881442
tt6645614,,0,,,
tt1267297,Paramount Pictures,PG-13,100000000,72688614,244819862
tt0434409,Warner Bros.,R,54000000,70511035,132511035
tt8752440,,PG-13,,,
tt1979388,Walt Disney Studios Motion Pictures,PG,,123087120,332207671
tt3584496,,0,,,116466
tt2582802,Sony Pictures Classics,R,3300000,13092000,49109539
tt4790268,,R,,,
tt0385887,Warner Bros.,R,26000000,9277736,18477736
tt1413492,Warner Bros.,R,,45819713,67450815
tt4158096,A24,R,,1799312,3719383
tt0816711,Paramount Pictures,PG-13,190000000,202359711,540007876
tt1411697,Warner Bros.,R,80000000,254464305,586764305
tt1029360,Twentieth Century Fox,PG-13,35000000,47425125,95437994
tt1261978,,0,,,
tt2911666,Lionsgate,R,20000000,43037835,86081711
tt0372784,Warner Bros.,PG-13,150000000,206852432,373661301
tt0167261,New Line Cinema,PG-13,94000000,342551365,943396133
tt10767720,,R,,,
tt0936501,Twentieth Century Fox,PG-13,25000000,145000989,226837760
tt3235888,RADiUS-TWC,R,,14674076,21729511
tt3846674,,0,,,
tt1981115,Walt Disney Studios Motion Pictures,PG-13,170000000,206362140,644783140
tt1951261,Warner Bros.,R,103000000,112200072,362000072
tt0252866,Universal Pictures,R,30000000,145103595,287553595
tt6182908,Warner Bros.,PG,,83240103,214040103
tt0472043,Walt Disney Studios Motion Pictures,R,40000000,50866635,120673227
tt0449088,Walt Disney Studios Motion Pictures,PG-13,300000000,309420425,960996492
tt3605418,Lionsgate Premiere,R,,36336,5567103
tt3450958,Twentieth Century Fox,PG-13,150000000,146880162,490719763
tt7295450,,R,,,146339
tt7167602,,R,,,
tt4913966,Warner Bros.,R,9000000,54733739,123133739
tt0790736,Universal Pictures,PG-13,130000000,33618855,78324220
tt0804555,,R,,,
tt0345950,Paramount Pictures,PG,30000000,85417988,141067127
tt0281358,Warner Bros.,PG,11800000,41281092,47494916
tt2828996,Open Road Films (II),R,4000000,17329486,25358716
tt0413300,Sony Pictures Entertainment (SPE),PG-13,258000000,336530303,894983373
tt1667889,Twentieth Century Fox,PG,95000000,161321843,877244782
tt3469046,Universal Pictures,PG,80000000,264624300,1034800131
tt3766354,Sony Pictures Entertainment (SPE),R,62000000,102084362,190400157
tt0170016,Universal Pictures,PG,123000000,260044825,345141403
tt2109248,Paramount Pictures,PG-13,210000000,245439076,1104054072
tt3717252,Screen Gems,R,35000000,30353973,81093313
tt0770828,Warner Bros.,PG-13,225000000,291045518,668045518
tt0829482,Sony Pictures Entertainment (SPE),R,20000000,121463226,170812526
tt1488606,,R,,,
tt0974959,,R,,,
tt0367594,Warner Bros.,PG,150000000,206459076,474968763
tt3416828,Twentieth Century Fox,PG,105000000,64063008,408754975
tt0803096,Universal Pictures,PG-13,160000000,47365290,439048914
tt3076658,Warner Bros.,PG-13,35000000,109767581,173567581
tt1375666,Warner Bros.,PG-13,160000000,292576195,836836967
tt5719748,Lionsgate,R,60000000,32138862,76419755
tt10060094,,0,,,
tt0398286,Walt Disney Studios Motion Pictures,PG,260000000,200821936,592461732
tt3807900,,R,,,
tt0295700,Twentieth Century Fox,R,12600000,15418790,28650575
tt1293847,Paramount Pictures,PG-13,85000000,44898413,346118277
tt3890160,TriStar Pictures,R,34000000,107825862,226945087
tt2543164,Paramount Pictures,PG-13,47000000,100546139,203388186
tt0903624,Warner Bros.,PG-13,,303003568,1017003568
tt1170358,Warner Bros.,PG-13,,258366855,958366855
tt7338690,,PG-13,,,
tt1946502,STX Entertainment,PG,45000000,20150241,32450241
tt0804516,Summit Entertainment,R,,3995018,7766240
tt2935510,Twentieth Century Fox,PG-13,90000000,50188370,127461872
tt8783146,,0,,,
tt0892769,DreamWorks,PG,165000000,217581231,494878759
tt2120120,Sony Pictures Entertainment (SPE),PG-13,88000000,78747585,244874809
tt1877832,Twentieth Century Fox,PG-13,200000000,233921534,746045700
tt1023111,Summit Entertainment,PG-13,20000000,24850922,41627431
tt3201640,,0,,,1451864
tt0455760,Universal Pictures,R,20000000,16809076,22382047
tt0455944,Sony Pictures Entertainment (SPE),R,55000000,101530738,192330738
tt1865567,,R,,,
tt2379713,Sony Pictures Entertainment (SPE),PG-13,245000000,200074609,880674609
tt7131622,Sony Pictures Entertainment (SPE),R,90000000,142502728,374343626
tt0175142,Miramax,R,19000000,157019771,278019771
tt1407050,,R,,,
tt6193408,,G,,,43091796
tt5670152,Lionsgate,R,,9186156,9515914
tt3289956,IFC Films,R,,10474,6170043
tt1217209,Walt Disney Studios Motion Pictures,PG,185000000,237283207,538983207
tt0377309,,0,,,558764
tt0266543,Walt Disney Studios Motion Pictures,G,94000000,380843261,940350194
tt0808146,,R,,,
tt0413267,DreamWorks,PG,160000000,322719944,813367380
tt2473682,Paramount Pictures,R,5000000,32462372,90894962
tt0390384,THINKFilm,PG-13,7000,424760,545436
tt1618442,Lionsgate,PG-13,90000000,27367660,146936910
tt3113696,,0,,,8196
tt6494418,,R,,,636366
tt2872518,Lionsgate,PG-13,,57386418,96942115
tt0382932,Walt Disney Studios Motion Pictures,G,150000000,206445654,623726085
tt1823672,Sony Pictures Entertainment (SPE),R,49000000,31569268,102811889
tt0329101,New Line Cinema,R,30000000,82622655,116632628
tt1661199,Walt Disney Studios Motion Pictures,PG,95000000,201151353,542351353
tt10006006,,0,,,
tt1229238,Paramount Pictures,PG-13,145000000,209397903,694713380
tt1131734,Twentieth Century Fox,R,16000000,16204793,31556061
tt1591095,FilmDistrict,PG-13,1500000,54009150,99557032
tt1397280,Twentieth Century Fox,PG-13,45000000,139854287,376152455
tt3522806,Lionsgate,R,,21218403,125729635
tt2179136,Warner Bros.,R,58800000,350126372,547426372
tt1365519,Warner Bros.,PG-13,94000000,58250803,274650803
tt2375779,,R,,,
tt0758746,Warner Bros.,R,19000000,65002019,91509154
tt1049413,Walt Disney Studios Motion Pictures,PG,175000000,293004164,735099102
tt8652584,,R,,,
tt3138192,,PG,,,
tt1216475,Walt Disney Studios Motion Pictures,G,200000000,191452396,559852396
tt0435761,Walt Disney Studios Motion Pictures,G,200000000,415004880,1066969703
tt1148204,Warner Bros.,R,,41596251,77912251
tt8663516,United Artists Releasing,R,10000000,29208403,44907074
tt2402101,A24,R,,208588,5090852
tt5792656,,R,,,111218
tt1179069,RADiUS-TWC,R,,,3205167
tt8323104,Warner Bros.,PG,,623088,623088
tt5052448,,R,,176040665,255429395
tt1080016,Twentieth Century Fox,PG,90000000,196573705,886686817
tt5254610,,R,,,1472770
tt1386697,Warner Bros.,PG-13,175000000,325100054,746846894
tt0387575,Rogue Pictures,R,12000000,17083732,24829644
tt1156398,Sony Pictures Entertainment (SPE),R,23600000,75590286,102392080
tt3256226,,0,,,
tt6306064,STX Entertainment,PG-13,35000000,31445012,59945012
tt2479478,,0,,,
