id,studio,rating,budget,dom_gross,world_gross
tt2380307,Walt Disney Studios Motion Pictures,PG,,210460015.0,807817888.0
tt7286456,Warner Bros.,R,55000000.0,335451311.0,1074251311.0
tt7349950,Warner Bros.,R,79000000.0,211593228.0,473093228.0
tt4520988,Walt Disney Studios Motion Pictures,PG,150000000.0,477373578.0,1450026933.0
tt7975244,Sony Pictures Entertainment (SPE),PG-13,125000000.0,320314960.0,800059707.0
tt4154756,Walt Disney Studios Motion Pictures,PG-13,,678815482.0,2048359754.0
tt5168832,,0,,,
tt9465600,,R,,,
tt0414982,New Line Cinema,R,25000000.0,54098051.0,118890272.0
tt6806448,Universal Pictures,PG-13,200000000.0,173956935.0,759056935.0
tt4126476,Aviron Pictures,PG-13,14000000.0,12138565.0,69746452.0
tt6450804,Paramount Pictures,R,185000000.0,62253077.0,261119292.0
tt6105098,Walt Disney Studios Motion Pictures,PG,260000000.0,543638043.0,1657138876.0
tt4154796,Walt Disney Studios Motion Pictures,PG-13,356000000.0,858373000.0,2797800564.0
tt4777008,Walt Disney Studios Motion Pictures,PG,185000000.0,113929605.0,491730089.0
tt4094724,Universal Pictures,R,10000000.0,79213375.0,118587880.0
tt6133466,Universal Pictures,R,13000000.0,69488745.0,137056262.0
tt8579674,Universal Pictures,R,95000000.0,159227644.0,384792488.0
tt6320628,Sony Pictures Entertainment (SPE),PG-13,160000000.0,390532085.0,1131927996.0
tt1935859,Twentieth Century Fox,PG-13,110000000.0,87242834.0,296482446.0
tt1979376,Walt Disney Studios Motion Pictures,G,200000000.0,434038008.0,1073394593.0
tt1935896,Magnolia Pictures,0,,21832.0,23589.0
tt6146586,Lionsgate,R,75000000.0,171015687.0,326709727.0
tt2527338,Walt Disney Studios Motion Pictures,PG-13,275000000.0,515202542.0,1074144248.0
tt4281724,,0,,,
tt1025100,Paramount Pictures,PG-13,138000000.0,48546770.0,173469516.0
tt2709692,Universal Pictures,PG,75000000.0,270620950.0,511595957.0
tt4633694,Sony Pictures Entertainment (SPE),PG,90000000.0,190241310.0,375540831.0
tt0329774,Revolution Studios,PG-13,,26873932.0,71022693.0
tt1560220,Sony Pictures Entertainment (SPE),R,42000000.0,73123082.0,122810399.0
tt8106534,,R,,,
tt7287680,,0,,,
tt2184339,Universal Pictures,R,3000000.0,64473115.0,89328627.0
tt1620981,United Artists Releasing,PG,24000000.0,100717913.0,203982710.0
tt6095472,Sony Pictures Entertainment (SPE),PG,65000000.0,41667116.0,147792047.0
tt5884052,Warner Bros.,PG,150000000.0,144105346.0,433005346.0
tt5220122,Sony Pictures Entertainment (SPE),PG,80000000.0,167510016.0,528583774.0
tt6139732,Walt Disney Studios Motion Pictures,PG,183000000.0,355559216.0,1050693953.0
tt5848272,Walt Disney Studios Motion Pictures,PG,175000000.0,201091711.0,529323962.0
tt2975578,Universal Pictures,R,9000000.0,71962800.0,111928365.0
tt7439064,,0,,,1496396.0
tt5113040,Universal Pictures,PG,80000000.0,158874395.0,430051293.0
tt1950186,Twentieth Century Fox,PG-13,97600000.0,117624357.0,225508210.0
tt9207616,,R,,,272693.0
tt3741700,Warner Bros.,PG-13,170000000.0,110500138.0,386600138.0
tt1206885,Lionsgate,R,50000000.0,44819352.0,91490353.0
tt5814534,Twentieth Century Fox,PG,100000000.0,66757013.0,171616764.0
tt4779682,Warner Bros.,PG-13,130000000.0,145443742.0,530259473.0
tt1677720,Warner Bros.,PG-13,175000000.0,137690172.0,582893671.0
tt1270797,Sony Pictures Entertainment (SPE),PG-13,100000000.0,213515506.0,856085151.0
tt2926810,Magnolia Pictures,0,,7171.0,7171.0
tt7547410,Paramount Pictures,PG,49000000.0,60477943.0,119682635.0
tt4881806,Universal Pictures,PG-13,170000000.0,417719760.0,1310464680.0
tt7025388,,0,,,1940234.0
tt4154664,Walt Disney Studios Motion Pictures,PG-13,160000000.0,426829839.0,1128276090.0
tt6565702,Twentieth Century Fox,PG-13,200000000.0,65845974.0,252442974.0
tt6259380,,0,,,157209.0
tt2250912,Sony Pictures Entertainment (SPE),PG-13,175000000.0,334201140.0,880166924.0
tt1825683,Walt Disney Studios Motion Pictures,PG-13,,700426566.0,1347462384.0
tt0241527,Warner Bros.,PG,125000000.0,318087620.0,1006482860.0
tt2386490,Universal Pictures,PG,129000000.0,160799505.0,524382645.0
tt5463162,Twentieth Century Fox,R,110000000.0,324591735.0,785794179.0
tt4429160,,PG,,,9696539.0
tt0974015,Warner Bros.,PG-13,,229024295.0,657926987.0
tt6324278,Universal Pictures,PG,75000000.0,60716390.0,179057149.0
tt3501632,Walt Disney Studios Motion Pictures,PG-13,180000000.0,315058289.0,853980491.0
tt0448115,Warner Bros.,PG-13,100000000.0,140371656.0,365971656.0
tt1396484,Warner Bros.,R,35000000.0,328828874.0,701796444.0
tt5033998,Sony Pictures Entertainment (SPE),PG-13,48000000.0,17803077.0,73279888.0
tt0437086,Twentieth Century Fox,PG-13,170000000.0,85838210.0,404980543.0
tt1431045,Twentieth Century Fox,R,58000000.0,363070709.0,782612155.0
tt7390646,Screen Gems,R,12000000.0,22055313.0,22741061.0
tt1477834,Warner Bros.,PG-13,,335061807.0,1148485886.0
tt2965466,,R,,,
tt6889128,,0,,,8363172.0
tt1790864,Twentieth Century Fox,PG-13,34000000.0,102427862.0,348319861.0
tt8096832,,PG,,,
tt2262227,Twentieth Century Fox,PG,50000000.0,50151543.0,99783556.0
tt5266668,,R,,,
tt0330373,Warner Bros.,PG-13,150000000.0,290417905.0,896419501.0
tt8328716,,R,,,
tt0327597,Focus Features,PG,60000000.0,75286229.0,124596837.0
tt2322441,Universal Pictures,R,40000000.0,166167230.0,569651467.0
tt5095030,Walt Disney Studios Motion Pictures,PG-13,,216648740.0,622674139.0
tt3829266,Twentieth Century Fox,R,88000000.0,51024708.0,160542134.0
tt0479968,Warner Bros.,PG-13,20000000.0,26890041.0,45847751.0
tt2294629,Walt Disney Studios Motion Pictures,PG,150000000.0,400738009.0,1280803377.0
tt3606756,Walt Disney Studios Motion Pictures,PG,,608581744.0,1242805359.0
tt6189022,Lionsgate,R,40000000.0,69030436.0,146661977.0
tt0848228,Walt Disney Studios Motion Pictures,PG-13,220000000.0,623357910.0,1518815515.0
tt7394816,,R,,,84630.0
tt8022928,,0,,,
tt2119532,Lionsgate,R,40000000.0,67209615.0,180450918.0
tt0369610,Universal Pictures,PG-13,150000000.0,652270625.0,1670401444.0
tt2622672,,0,,,
tt1856101,Warner Bros.,R,150000000.0,92054159.0,259239658.0
tt6196936,,R,,,372282.0
tt6343314,Metro-Goldwyn-Mayer (MGM),PG-13,50000000.0,115715889.0,214215889.0
tt0816692,Paramount Pictures,PG-13,165000000.0,188020017.0,696264079.0
tt11191124,,0,,,
tt2283336,Sony Pictures Entertainment (SPE),PG-13,110000000.0,80001807.0,253890701.0
tt8364368,Paramount Pictures,R,13500000.0,39014193.0,91542097.0
tt2557478,Universal Pictures,PG-13,150000000.0,59874525.0,290930148.0
tt3561236,,0,,,
tt3470600,Universal Pictures,PG,75000000.0,270395425.0,634154922.0
