popularity,vote_count,id,genre_ids,title,vote_average,release_date
520.621,12639,354912,"[16, 10751, 35, 12, 14, 10402]",Coco,8.2,2017-10-27
330.357,15378,475557,"[80, 53, 18]",Joker,8.2,2019-10-02
288.149,5133,474350,"[27, 14]",It Chapter Two,6.9,2019-09-04
257.243,6344,330457,"[16, 10751, 12, 35, 14]",Frozen II,7.3,2019-11-20
216.184,4925,512200,"[12, 35, 14]",Jumanji: The Next Level,7.0,2019-12-04
214.301,20054,299536,"[12, 28, 878]",Avengers: Infinity War,8.3,2018-04-25
204.824,121,440249,[99],After Porn Ends 2,5.0,2017-03-28
204.079,96,640882,[878],3022,5.7,2019-11-22
202.062,2484,9286,"[27, 9648]",Final Destination 3,6.0,2006-02-09
199.629,4284,384018,"[28, 12, 35]",Fast & Furious Presents: Hobbs & Shaw,6.9,2019-08-01
191.929,5170,537915,"[18, 10749]",After,7.1,2019-04-11
177.893,2952,290859,"[28, 12, 878]",Terminator: Dark Fate,6.5,2019-10-23
177.499,6985,420818,"[12, 10751, 10402, 16]",The Lion King,7.2,2019-07-12
177.346,15532,299534,"[12, 878, 28]",Avengers: Endgame,8.3,2019-04-24
175.836,3778,420809,"[14, 10751, 12]",Maleficent: Mistress of Evil,7.4,2019-10-16
173.963,3726,316727,"[28, 27, 53]",The Purge: Election Year,6.4,2016-06-29
172.348,2641,442249,"[28, 878, 53, 27]",The First Purge,5.9,2018-07-04
172.268,6830,530915,"[10752, 18]",1917,7.9,2019-12-25
169.038,8594,429617,"[28, 12, 878]",Spider-Man: Far from Home,7.6,2019-06-28
167.458,7501,283366,"[18, 14, 12, 10751]",Miss Peregrine's Home for Peculiar Children,6.7,2016-09-28
166.835,6204,301528,"[12, 16, 35, 10751, 14]",Toy Story 4,7.6,2019-06-19
163.724,337,87436,[27],The ABCs of Death,4.8,2013-03-08
159.899,5880,458156,"[28, 53, 80]",John Wick: Chapter 3 - Parabellum,7.4,2019-05-15
158.92,5829,181812,"[28, 12, 878]",Star Wars: The Rise of Skywalker,6.6,2019-12-18
154.85,299,420634,"[53, 27]",Terrifier,6.3,2016-10-15
152.456,3058,453405,"[28, 18, 878, 53]",Gemini Man,6.4,2019-10-02
147.818,2150,360920,"[16, 10751, 35, 14]",The Grinch,6.8,2018-11-08
