popularity,vote_count,id,genre_ids,title,vote_average,release_date
823.0419999999999,12617,tt2380307,"[16, 10751, 35, 12, 14, 10402]",Coco,8.2,2017-10-27
356.048,5124,tt7349950,"[27, 14]",It Chapter Two,6.9,2019-09-04
333.745,15365,tt7286456,"[80, 53, 18]",Joker,8.2,2019-10-02
279.613,6340,tt4520988,"[16, 10751, 12, 35, 14]",Frozen II,7.3,2019-11-20
204.021,3720,tt4094724,"[28, 27, 53]",The Purge: Election Year,6.4,2016-06-29
231.535,4922,tt7975244,"[12, 35, 14]",Jumanji: The Next Level,7.0,2019-12-04
202.21099999999998,20049,tt4154756,"[12, 28, 878]",Avengers: Infinity War,8.3,2018-04-25
210.977,96,tt9465600,[878],3022,5.7,2019-11-22
241.933,4281,tt6806448,"[28, 12, 35]",Fast & Furious Presents: Hobbs & Shaw,6.9,2019-08-01
192.59099999999998,298,tt4281724,"[53, 27]",Terrifier,6.3,2016-10-15
197.85299999999998,2639,tt6133466,"[28, 878, 53, 27]",The First Purge,5.9,2018-07-04
188.40599999999998,6824,tt8579674,"[10752, 18]",1917,7.9,2019-12-25
187.627,15521,tt4154796,"[12, 878, 28]",Avengers: Endgame,8.3,2019-04-24
173.12900000000002,337,tt1935896,[27],The ABCs of Death,4.8,2013-03-08
182.415,6982,tt6105098,"[12, 10751, 10402]",The Lion King,7.2,2019-07-12
173.739,6111,tt2184339,"[878, 27, 53]",The Purge,6.2,2013-05-31
210.407,121,tt5168832,[99],After Porn Ends 2,5.0,2017-03-28
177.34599999999998,8588,tt6320628,"[28, 12, 878]",Spider-Man: Far from Home,7.6,2019-06-28
174.398,1217,tt1620981,"[16, 35, 10751, 14]",The Addams Family,6.6,2019-10-10
182.592,3778,tt4777008,"[14, 10751, 12]",Maleficent: Mistress of Evil,7.4,2019-10-16
182.972,2949,tt6450804,"[28, 12, 878]",Terminator: Dark Fate,6.5,2019-10-23
196.65200000000002,5162,tt4126476,"[18, 10749]",After,7.1,2019-04-11
178.06599999999997,56,tt7287680,"[28, 878]",The Immortal Wars: Resurgence,6.0,2019-12-13
172.331,6203,tt1979376,"[12, 16, 35, 10751, 14]",Toy Story 4,7.6,2019-06-19
169.071,3054,tt1025100,"[28, 18, 878, 53]",Gemini Man,6.4,2019-10-02
151.417,2715,tt5220122,"[10751, 14, 35, 16]",Hotel Transylvania 3: Summer Vacation,6.9,2018-06-28
141.70600000000002,1716,tt2262227,"[16, 12, 35, 10751, 14]",The Book of Life,7.5,2014-10-01
160.44299999999998,5876,tt6146586,"[28, 80, 53]",John Wick: Chapter 3 - Parabellum,7.4,2019-05-15
156.94899999999998,8216,tt4633694,"[28, 12, 16, 878, 35]",Spider-Man: Into the Spider-Verse,8.4,2018-12-06
141.645,3030,tt1560220,"[27, 28, 35]",Zombieland: Double Tap,7.0,2019-10-09
145.94799999999998,3668,tt1950186,"[18, 36]",Ford v Ferrari,8.0,2019-11-13
141.85399999999998,4731,tt2975578,"[27, 53]",The Purge: Anarchy,6.6,2014-07-17
148.903,37,tt7439064,"[28, 18, 36]",The Rising Hawk,6.1,2019-10-10
128.22899999999998,10330,tt1677720,"[12, 878]",Ready Player One,7.6,2018-03-28
120.315,14360,tt1396484,[27],It,7.2,2017-09-06
140.69299999999998,887,tt6095472,"[16, 35, 12, 10751]",The Angry Birds Movie 2,7.2,2019-08-02
142.08,7092,tt6139732,"[12, 14, 10749, 10751]",Aladdin,7.2,2019-05-22
136.154,4371,tt5884052,"[28, 12, 14]",Pokémon Detective Pikachu,7.0,2019-05-03
152.75799999999998,5825,tt2527338,"[28, 12, 878]",Star Wars: The Rise of Skywalker,6.6,2019-12-18
138.705,2615,tt8106534,"[28, 53]",6 Underground,6.3,2019-12-13
138.685,1843,tt5113040,"[12, 16, 35, 10751]",The Secret Life of Pets 2,7.0,2019-05-24
119.917,322,tt2965466,"[27, 53]",Last Shift,6.0,2014-10-25
118.53,285,tt9207616,"[28, 80, 18, 53]",The Courier,6.5,2019-11-22
139.512,5025,tt5848272,"[10751, 16, 35, 12]",Ralph Breaks the Internet,7.3,2018-11-20
119.331,180,tt2926810,[27],ABCs of Death 2,5.3,2014-10-02
135.96,2148,tt2709692,"[16, 10751, 35, 14]",The Grinch,6.8,2018-11-08
123.305,14808,tt3501632,"[28, 12, 35, 14]",Thor: Ragnarok,7.6,2017-10-25
121.041,2246,tt1206885,"[28, 53, 18]",Rambo: Last Blood,6.4,2019-09-19
121.33200000000001,4569,tt4779682,"[28, 878, 27]",The Meg,6.1,2018-08-09
115.15,119,tt7025388,"[12, 14, 9648]",Abigail,5.9,2019-08-22
122.48,8264,tt4881806,"[28, 12, 878]",Jurassic World: Fallen Kingdom,6.6,2018-06-06
109.259,1070,tt7547410,"[12, 35, 10751]",Dora and the Lost City of Gold,6.8,2019-08-08
124.059,9747,tt1270797,"[878, 28]",Venom,6.7,2018-09-28
117.191,4022,tt6565702,"[878, 28, 12]",Dark Phoenix,6.1,2019-06-05
