id,popularity,vote_count,genre_ids,title,vote_average,release_date
tt2380307,520.621,12639,"[16, 10751, 35, 12, 14, 10402]",coco,8.2,2017-10-27
tt7286456,330.357,15378,"[80, 53, 18]",joker,8.2,2019-10-02
tt7349950,288.149,5133,"[27, 14]",it chapter two,6.9,2019-09-04
tt4520988,257.243,6344,"[16, 10751, 12, 35, 14]",frozen ii,7.3,2019-11-20
tt7975244,216.18400000000003,4925,"[12, 35, 14]",jumanji the next level,7.0,2019-12-04
tt4154756,214.301,20054,"[12, 28, 878]",avengers infinity war,8.3,2018-04-25
tt5168832,204.824,121,[99],after porn ends 2,5.0,2017-03-28
tt9465600,204.079,96,[878],3022,5.7,2019-11-22
tt0414982,202.062,2484,"[27, 9648]",final destination 3,6.0,2006-02-09
tt6806448,199.629,4284,"[28, 12, 35]",fast & furious presents hobbs & shaw,6.9,2019-08-01
tt4126476,191.929,5170,"[18, 10749]",after,7.1,2019-04-11
tt6450804,177.893,2952,"[28, 12, 878]",terminator dark fate,6.5,2019-10-23
tt6105098,177.49900000000005,6985,"[12, 10751, 10402, 16]",the lion king,7.2,2019-07-12
tt4154796,177.34599999999998,15532,"[12, 878, 28]",avengers endgame,8.3,2019-04-24
tt4777008,175.83599999999996,3778,"[14, 10751, 12]",maleficent mistress of evil,7.4,2019-10-16
tt4094724,173.963,3726,"[28, 27, 53]",the purge election year,6.4,2016-06-29
tt6133466,172.34799999999996,2641,"[28, 878, 53, 27]",the first purge,5.9,2018-07-04
tt8579674,172.268,6830,"[10752, 18]",1917,7.9,2019-12-25
tt6320628,169.03799999999995,8594,"[28, 12, 878]",spiderman far from home,7.6,2019-06-28
tt1935859,167.458,7501,"[18, 14, 12, 10751]",miss peregrines home for peculiar children,6.7,2016-09-28
tt1979376,166.835,6204,"[12, 16, 35, 10751, 14]",toy story 4,7.6,2019-06-19
tt1935896,163.724,337,[27],the abcs of death,4.8,2013-03-08
tt6146586,159.899,5880,"[28, 53, 80]",john wick chapter 3 parabellum,7.4,2019-05-15
tt2527338,158.92,5829,"[28, 12, 878]",star wars the rise of skywalker,6.6,2019-12-18
tt4281724,154.85,299,"[53, 27]",terrifier,6.3,2016-10-15
tt1025100,152.45600000000005,3058,"[28, 18, 878, 53]",gemini man,6.4,2019-10-02
tt2709692,147.81799999999996,2150,"[16, 10751, 35, 14]",the grinch,6.8,2018-11-08
tt4633694,147.11700000000005,8230,"[28, 12, 16, 878, 35]",spiderman into the spiderverse,8.4,2018-12-06
tt0329774,146.94,1271,"[28, 12, 80, 18, 9648, 53]",xxx state of the union,5.0,2005-04-27
tt1560220,145.643,3037,"[27, 28, 35]",zombieland double tap,7.0,2019-10-09
tt8106534,145.111,2616,"[28, 53]",6 underground,6.3,2019-12-13
tt7287680,144.695,56,"[28, 878]",the immortal wars resurgence,6.0,2019-12-13
tt2184339,143.266,6112,"[878, 27, 53]",the purge,6.2,2013-05-31
tt1620981,142.45600000000005,1217,"[16, 35, 10751, 14]",the addams family,6.6,2019-10-10
tt6095472,142.093,888,"[16, 35, 12, 10751]",the angry birds movie 2,7.2,2019-08-02
tt5884052,139.905,4372,"[28, 12, 14]",pokémon detective pikachu,7.0,2019-05-03
tt5220122,138.38299999999998,2717,"[10751, 14, 35, 16]",hotel transylvania 3 summer vacation,6.9,2018-06-28
tt6139732,135.195,7098,"[12, 14, 10749, 10751]",aladdin,7.2,2019-05-22
tt5848272,135.101,5027,"[10751, 16, 35, 12]",ralph breaks the internet,7.3,2018-11-20
tt2975578,134.202,4735,"[27, 53]",the purge anarchy,6.6,2014-07-17
tt7439064,131.991,37,"[28, 18, 36]",the rising hawk,6.1,2019-10-10
tt5113040,131.086,1843,"[12, 16, 35, 10751]",the secret life of pets 2,7.0,2019-05-24
tt1950186,130.842,3680,"[18, 36]",ford v ferrari,8.0,2019-11-13
tt9207616,121.082,285,"[28, 80, 18, 53]",the courier,6.5,2019-11-22
tt3741700,118.632,3053,"[878, 28]",godzilla king of the monsters,6.5,2019-05-29
tt1206885,117.599,2248,"[28, 53, 18]",rambo last blood,6.4,2019-09-19
tt5814534,116.998,1712,"[28, 12, 16, 35]",spies in disguise,7.8,2019-12-04
tt4779682,116.571,4571,"[28, 878, 27]",the meg,6.1,2018-08-09
tt1677720,115.552,10337,"[12, 878]",ready player one,7.6,2018-03-28
tt1270797,115.382,9753,"[878, 28]",venom,6.7,2018-09-28
